Color,Name,Kms_Driven,Owner,Fuel,RTO,Tranmission,Price,Body_type,Variant,Airbags,Alloy_wheels,Cruise_control,Infotainment_system,Parking_sensors,Push_button_start,Steering_mounted_controls,Sunroof_moonroof
silver,2019 Jeep Compass,"46,811 KM",1ST,PETROL,GJ-27,Automatic,"₹13,10,000",luxury%20suv,LONGITUDE (O) 1.4 PETROL ATAutomatic,,,,,,,,
silver,2015 Mahindra XUV500,"90,935 KM",2ND,DIESEL,GJ-01,Manual,"₹5,91,000",luxury%20suv,W6Manual,,,1.0,,1.0,,1.0,
white,2018 Mahindra XUV500,"73,995 KM",1ST,DIESEL,MH-09,Manual,"₹10,57,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2016 Honda CRV,"70,382 KM",1ST,PETROL,HR-26,Automatic,"₹9,19,600",luxury%20suv,2.4L 2WD ATAutomatic,1.0,1.0,1.0,,1.0,,1.0,1.0
white,2017 Toyota Fortuner,"1,16,742 KM",3RD,DIESEL,GJ-27,Automatic,"₹21,70,000",luxury%20suv,2.8 4X2 ATAutomatic,1.0,1.0,1.0,,1.0,1.0,1.0,
white,2018 Mahindra XUV500,"1,26,204 KM",1ST,DIESEL,KA-20,Automatic,"₹11,63,000",luxury%20suv,W7 ATAutomatic,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2017 Toyota Fortuner,"1,03,102 KM",1ST,DIESEL,DL-8C,Automatic,"₹24,20,000",luxury%20suv,2.8 4X2 ATAutomatic,1.0,1.0,1.0,,1.0,1.0,1.0,
white,2018 Mahindra XUV500,"71,832 KM",1ST,DIESEL,KA-05,Manual,"₹11,38,000",luxury%20suv,W6Manual,1.0,,1.0,,1.0,,1.0,
white,2018 Mahindra XUV500,"38,047 KM",2ND,DIESEL,TN-07,Manual,"₹11,58,000",luxury%20suv,W7Manual,1.0,,1.0,1.0,1.0,1.0,1.0,
white,2018 Hyundai Tucson New,"86,933 KM",2ND,PETROL,UP-14,Manual,"₹10,78,000",luxury%20suv,2WD MT PETROLManual,,,,,,,,
white,2019 Mahindra XUV500,"75,436 KM",2ND,DIESEL,KL-45,Manual,"₹9,86,000",luxury%20suv,W5Manual,1.0,,,1.0,1.0,,,
